,name,min,max
0,[서인천]발전부지내 태양광 1단계,2018-01-01 09:00:00,2022-02-28 20:00:00
1,[서인천]발전부지내 태양광 1단계ESS,2019-05-24 01:00:00,2022-03-01 00:00:00
2,[서인천]발전부지내 태양광 2단계,2018-01-01 09:00:00,2022-02-28 18:00:00
3,[평택]발전부지내 1단계 태양광 ESS,2019-05-24 01:00:00,2022-03-01 00:00:00
4,[평택]발전부지내 태양광 1단계,2018-01-02 10:00:00,2022-02-28 21:00:00
5,군산복합2단계태양광,2018-01-01 09:00:00,2022-02-28 22:00:00
6,군산복합2단계태양광ESS,2019-05-25 01:00:00,2022-03-01 00:00:00
7,대전 학하 연료전지,2021-11-11 14:00:00,2022-03-01 00:00:00
8,삼랑진태양광#1,2018-01-01 09:00:00,2022-02-28 19:00:00
9,삼랑진태양광#2,2018-01-01 08:00:00,2022-02-28 18:00:00
10,새빛태양광,2018-01-01 08:00:00,2022-02-28 19:00:00
11,서인천연료전지,2018-10-01 01:00:00,2022-03-01 00:00:00
12,서인천연료전지2,2018-11-22 17:00:00,2022-03-01 00:00:00
13,석정태양광발전소,2018-01-01 08:00:00,2022-02-28 19:00:00
14,세종시수질복원센터태양광연계 ESS,2019-12-24 01:00:00,2022-03-01 00:00:00
15,세종시자전거도로태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
16,세종시자전거도로태양광#2,2018-01-01 09:00:00,2022-02-28 19:00:00
17,세종시자전거도로태양광#3,2018-01-01 09:00:00,2022-02-28 19:00:00
18,세종시폐기물매립장태양광,2017-01-01 08:00:00,2022-02-28 18:00:00
19,세종시폐기물매립장태양광ESS,2018-10-01 01:00:00,2022-03-01 00:00:00
20,수질복원센터태양광,2018-01-01 09:00:00,2022-02-28 22:00:00
21,아산시 폐기물 매립장 태양광,2018-12-13 08:00:00,2022-02-28 22:00:00
22,아산시 폐기물 매립장 태양광연계 ESS,2019-12-28 01:00:00,2022-03-01 00:00:00
23,안산공단태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
24,안산목내태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
25,안산성곡태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
26,안산연성정수장태양광,2017-01-01 09:00:00,2022-02-28 18:00:00
27,안산와동태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
28,안산초지태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
29,의왕 연료전지,2021-06-12 00:00:00,2022-03-01 00:00:00
30,장흥풍력,2021-07-13 09:00:00,2022-03-01 00:00:00
31,천안청수연료전지,2019-11-19 23:00:00,2022-03-01 00:00:00
32,태안9·10호기태양광,2018-01-01 09:00:00,2022-02-28 20:00:00
33,태안_ESS#2_#1수상,2019-05-31 01:00:00,2022-03-01 00:00:00
34,태안_ESS#2_1단계_건축물,2019-05-31 01:00:00,2022-03-01 00:00:00
35,태안_ESS#2_2단계_#1옥내저탄장,2019-05-31 12:00:00,2022-03-01 00:00:00
36,태안_ESS#2_2단계_건축물,2019-05-31 01:00:00,2022-03-01 00:00:00
37,태안발전부지태양광1호기,2018-01-01 09:00:00,2022-02-28 20:00:00
38,태안부지 태양광 2단계(건축물),2018-01-01 09:00:00,2022-02-28 20:00:00
39,태안부지 태양광 2단계(대지),2018-01-01 08:00:00,2022-02-28 20:00:00
40,태안소수력#1,2018-10-01 01:00:00,2022-03-01 00:00:00
41,태안소수력#2,2021-05-25 17:00:00,2022-03-01 00:00:00
42,태안저탄장태양광1호기,2018-05-31 06:00:00,2022-02-28 20:00:00
43,태안태양광2단계_ESS,2018-10-01 01:00:00,2022-03-01 00:00:00
44,태안태양광발전기,2017-01-01 09:00:00,2022-02-28 11:00:00
45,평택2복합태양광,2018-01-01 09:00:00,2022-02-28 18:00:00
46,한국서부발전(주)태양광발전소,2020-10-01 08:00:00,2022-02-28 22:00:00
47,한국서부발전(주)태양광발전소 ESS,2020-10-01 01:00:00,2022-03-01 00:00:00
48,화성 남양 연료전지,2021-01-22 16:00:00,2022-03-01 00:00:00
49,화순풍력,2018-10-01 01:00:00,2022-03-01 00:00:00
50,화순풍력 ESS,2018-10-01 19:00:00,2022-02-28 12:00:00
